序号	code	name
294	601616	广电电气
295	002281	光迅科技
296	600227	赤天化
297	300059	东方财富
298	300336	新文化
299	600096	云天化
300	600665	天地源
301	300041	回天新材
302	002353	杰瑞股份
303	300399	京天利
304	300257	开山股份
305	600521	华海药业
306	002414	高德红外
307	603701	德宏股份
308	002261	拓维信息
309	002006	精功科技
310	600069	银鸽投资
311	002696	百洋股份
312	600241	时代万恒
313	600573	惠泉啤酒
314	603798	康普顿
315	300119	瑞普生物
316	300326	凯利泰
317	601515	东风股份
318	600435	北方导航
319	600897	厦门空港
320	603589	口子窖
321	002082	栋梁新材
322	002516	旷达科技
323	000663	永安林业
324	002637	赞宇科技
325	002335	科华恒盛
326	600176	中国巨石
327	300328	宜安科技
328	002551	尚荣医疗
329	002610	爱康科技
330	600262	北方股份
331	600831	广电网络
332	300365	恒华科技
333	002771	真视通
334	300006	莱美药业
335	002577	雷柏科技
336	600719	大连热电
337	300099	尤洛卡
338	002526	山东矿机
339	002079	苏州固锝
340	300023	宝德股份
341	002413	雷科防务
342	600062	华润双鹤
343	300182	捷成股份
344	002780	三夫户外
345	000536	华映科技
346	002535	林州重机
347	600745	中茵股份
348	300353	东土科技
349	600649	城投控股
350	601218	吉鑫科技
351	300318	博晖创新
352	600103	青山纸业
353	300256	星星科技
354	002066	瑞泰科技
355	600885	宏发股份
356	002554	惠博普
357	000609	绵世股份
358	002769	普路通
359	000758	中色股份
360	300085	银之杰
361	300279	和晶科技
362	300380	安硕信息
363	300352	北信源
364	600151	航天机电
365	300440	运达科技
366	000938	紫光股份
367	000058	深 赛 格
368	002659	中泰桥梁
369	002593	日上集团
370	600278	东方创业
371	002564	天沃科技
372	300417	南华仪器
373	600864	哈投股份
374	000429	粤高速Ａ
375	601777	力帆股份
376	600962	国投中鲁
377	002448	中原内配
378	300112	万讯自控
379	002788	鹭燕医药
380	300505	川金诺
381	002196	方正电机
382	000889	茂业通信
383	002496	辉丰股份
384	600590	泰豪科技
385	603026	石大胜华
386	002150	通润装备
387	300010	立思辰
388	002182	云海金属
389	002100	天康生物
390	600132	重庆啤酒
391	002464	金利科技
392	300029	天龙光电
393	300195	长荣股份
394	600787	中储股份
395	300213	佳讯飞鸿
396	300174	元力股份
397	002205	国统股份
398	002537	海立美达
399	000421	南京中北
400	300161	华中数控
401	603029	天鹅股份
402	002262	恩华药业
403	600718	东软集团
404	600589	广东榕泰
405	300167	迪威视讯
406	002599	盛通股份
407	000868	安凯客车
408	002785	万里石
409	300232	洲明科技
410	601003	柳钢股份
411	600100	同方股份
412	002275	桂林三金
413	002138	顺络电子
414	600106	重庆路桥
415	000573	粤宏远Ａ
416	300431	暴风科技
417	300447	全信股份
418	600755	厦门国贸
419	000697	炼石有色
420	300400	劲拓股份
421	002512	达华智能
422	000905	厦门港务
423	600892	宝诚股份
424	300159	新研股份
425	603118	共进股份
426	600501	航天晨光
427	300394	天孚通信
428	600917	重庆燃气
429	600242	中昌海运
430	600275	武昌鱼
431	000570	苏常柴Ａ
