时间	开盘	最高	最低	收盘	总手	金额	换手%	avg5	avg10	avg20	avg30	avg60
20160315,二	5.07	5.07	4.98	5.01	15944865	80143502	1.5	4.98	5.05	5.15	5.11	5.86
20160316,三	5.03	5.08	4.94	4.96	14953998	74735331	1.4	4.98	5.04	5.13	5.11	5.82
20160317,四	4.97	5.13	4.96	5.11	28567909	144496460	2.68	5.02	5.02	5.11	5.12	5.79
20160318,五	5.12	5.32	5.1	5.27	40145375	209544150	3.77	5.09	5.05	5.1	5.13	5.75
20160321,一	5.35	5.45	5.26	5.43	42869236	229750770	4.02	5.16	5.08	5.09	5.15	5.72
20160322,二	5.36	5.41	5.3	5.33	34426005	184229240	3.23	5.22	5.1	5.08	5.16	5.68
20160323,三	5.3	5.42	5.3	5.41	30369052	162992440	2.85	5.31	5.15	5.08	5.17	5.65
20160324,四	5.35	5.37	5.24	5.24	26912047	142917540	2.52	5.34	5.18	5.09	5.18	5.61
20160325,五	5.22	5.31	5.22	5.28	17172730	90395620	1.61	5.34	5.21	5.1	5.18	5.57
20160328,一	5.31	5.38	5.22	5.23	23915246	127055181	2.24	5.3	5.23	5.13	5.19	5.53
20160329,二	5.23	5.25	5.06	5.11	27233376	139855940	2.55	5.25	5.24	5.14	5.18	5.49
20160330,三	5.15	5.28	5.14	5.27	23737346	123446772	2.23	5.23	5.27	5.15	5.17	5.45
20160331,四	5.24	5.29	5.2	5.25	34711696	182073970	3.26	5.23	5.28	5.15	5.17	5.41
20160401,五	5.19	5.24	5.13	5.21	21486123	111455138	2.02	5.21	5.28	5.16	5.16	5.37
20160405,二	5.21	5.38	5.2	5.38	34494182	183087540	3.24	5.24	5.27	5.17	5.15	5.34
20160406,三	5.38	5.41	5.3	5.38	30168022	161631920	2.83	5.3	5.28	5.19	5.15	5.32
20160407,四	5.38	5.92	5.36	5.92	60693873	352709610	5.69	5.43	5.33	5.24	5.16	5.3
20160408,五	5.92	5.96	5.62	5.74	102471352	594446530	9.61	5.53	5.38	5.28	5.19	5.3
20160411,一	5.77	5.93	5.74	5.8	61521734	357245760	5.77	5.64	5.43	5.32	5.21	5.29
20160412,二	5.81	5.81	5.57	5.68	44476895	251306450	4.17	5.7	5.47	5.35	5.24	5.29
20160413,三	5.7	5.8	5.69	5.69	48058552	275678690	4.51	5.77	5.53	5.38	5.27	5.29
20160414,四	5.71	5.82	5.67	5.76	35733821	205046740	3.35	5.73	5.58	5.42	5.3	5.29
20160415,五	5.77	5.79	5.66	5.75	21530422	123198612	2.02	5.74	5.63	5.46	5.31	5.29
20160418,一	5.71	5.71	5.55	5.62	21319650	119778474	2.0	5.7	5.67	5.47	5.33	5.29
20160419,二	5.65	5.67	5.58	5.64	16955167	95290824	1.59	5.69	5.7	5.48	5.35	5.29
20160420,三	5.65	5.67	5.12	5.28	42296621	227376590	3.97	5.61	5.69	5.48	5.36	5.28
20160421,四	5.25	5.32	5.17	5.19	21725648	114167697	2.04	5.5	5.62	5.47	5.36	5.27
20160422,五	5.14	5.26	5.11	5.22	16643748	86467986	1.56	5.39	5.56	5.47	5.37	5.26
20160425,一	5.25	5.25	5.13	5.2	13317398	68987259	1.25	5.31	5.5	5.47	5.38	5.25
20160426,二	5.21	5.24	5.15	5.24	12513020	65055177	1.17	5.23	5.46	5.47	5.39	5.25
20160427,三	5.24	5.25	5.21	5.24	3699420	19337479	0.347	5.22	5.41	5.47	5.39	5.25
